iter	Logloss
133	0.4223256641
134	0.4222598047
135	0.4221883984
136	0.4221128125
137	0.4220226953
138	0.4219624219
139	0.421855625
140	0.4217141406
141	0.4215997266
142	0.4215158203
143	0.4214190625
144	0.4213724219
145	0.4212874609
146	0.421224375
147	0.4211557031
148	0.4210392969
149	0.4209090234
150	0.4207740234
151	0.4207174219
152	0.4205932031
153	0.4205266016
154	0.4204151953
155	0.4203402734
156	0.4202862891
157	0.4201590625
158	0.4200871875
159	0.420046875
160	0.4199783984
161	0.4198846875
162	0.4198399609
163	0.4197177734
164	0.4196772266
165	0.4195992578
166	0.4195401172
167	0.4194442187
168	0.4193601953
169	0.4193154687
170	0.4192323828
171	0.4191203125
172	0.4190555078
173	0.4189507031
174	0.4188732422
175	0.418761875
176	0.4186466797
177	0.4185801172
178	0.4185098828
179	0.4184373828
180	0.4183240625
181	0.4182394531
182	0.4181723438
183	0.4181253516
184	0.4180767578
185	0.418029375
186	0.4179812891
187	0.4179250781
188	0.4178687891
189	0.4177868359
190	0.4177367578
191	0.4177069141
192	0.4176492578
193	0.4175923047
194	0.4175375
195	0.4174327344
196	0.4173476953
197	0.4173068359
198	0.4172393359
199	0.4171760937
200	0.4170719531
201	0.4170328516
202	0.4169758203
203	0.4168820313
204	0.4167875391
205	0.4166408984
206	0.4165587109
207	0.4164676562
208	0.4164307422
209	0.416361875
210	0.416244375
211	0.4161707422
212	0.416046875
213	0.4160030469
214	0.4159146484
215	0.4158580469
216	0.4157948047
217	0.4157176172
218	0.4156695313
219	0.4155364844
220	0.4154688672
221	0.4153773438
222	0.4152940625
223	0.4151891797
224	0.4151744531
225	0.4151408203
226	0.4151084766
227	0.415054375
228	0.4149298828
229	0.414875
230	0.4148165625
231	0.4147233203
232	0.4146647266
233	0.4146384766
234	0.4146048828
235	0.4145580859
236	0.4144857031
237	0.414416875
238	0.4143327344
239	0.4142635156
240	0.4141821094
241	0.4140828516
242	0.4140342578
243	0.4139715625
244	0.4139326172
245	0.4138459766
246	0.4137407031
247	0.4136319141
248	0.4135429688
249	0.4134699609
250	0.4133672266
251	0.4133358984
252	0.4132034375
253	0.4131435156
254	0.4130880469
255	0.412978125
256	0.4129341016
257	0.4128599609
258	0.4127871094
259	0.4127184375
260	0.4126564453
261	0.4126228906
262	0.4125873828
263	0.4124857422
264	0.4124479297
265	0.4123727734
266	0.4123209766
267	0.4122998047
268	0.4122096484
269	0.4121505859
270	0.4121330078
271	0.4121000781
272	0.4119437109
273	0.4118797266
274	0.4118383984
275	0.4118176953
276	0.4117328516
277	0.4116699219
278	0.4116260937
279	0.4115766016
280	0.4115413672
281	0.4114872656
282	0.4114633594
283	0.4113435156
284	0.4113110547
285	0.4111653906
286	0.411118125
287	0.4110308594
288	0.4109919141
289	0.4109619922
290	0.4109186719
291	0.4108788281
292	0.4108278906
293	0.4107690625
294	0.4107246875
295	0.4106257422
296	0.4105946875
297	0.4105196875
298	0.4104859375
299	0.4104352344
300	0.4103758594
301	0.4103126953
302	0.4102270703
303	0.4102069141
304	0.4101772266
305	0.4101484375
306	0.4100366016
307	0.41
308	0.4099671484
309	0.4099334766
310	0.4099114453
311	0.4098648047
312	0.4098291016
313	0.4097978516
314	0.4097678906
315	0.4097256641
316	0.4096729297
317	0.4095583594
318	0.4094966797
319	0.4094440625
320	0.4093845313
321	0.4093066406
322	0.4092688281
323	0.4092153125
324	0.4091613672
325	0.4090911719
326	0.4089648437
327	0.40892
328	0.4088206641
329	0.4087827344
330	0.4087339063
331	0.408686875
332	0.4086367188
333	0.4085539453
334	0.4085017969
335	0.4084677734
336	0.4084225
337	0.4083853125
338	0.4083247656
339	0.4082828516
340	0.4082347656
341	0.4081422266
342	0.4080988281
343	0.4080492578
344	0.4080101172
345	0.4079646484
346	0.4079302734
347	0.4079112109
348	0.4078194141
349	0.4077875781
350	0.4077435547
351	0.4076682812
352	0.40764
353	0.4075537109
354	0.4074801953
355	0.407405625
356	0.4073417188
357	0.4073096094
358	0.4072753125
359	0.4072087891
360	0.4071422656
361	0.4071016406
362	0.4070410938
363	0.4069823437
364	0.4069309766
365	0.4068644531
366	0.4067961719
367	0.4067530859
368	0.4067005859
369	0.4066799219
370	0.4066131641
371	0.4065573828
372	0.4065224609
373	0.4064596875
374	0.4063287891
375	0.4062791797
376	0.4062553125
377	0.4062037109
378	0.4061439063
379	0.4060947656
380	0.4060717969
381	0.4060047266
382	0.4059719531
383	0.4059301172
384	0.4059102344
385	0.4058483984
386	0.4058111328
387	0.4057750781
388	0.4057440625
389	0.4056583203
390	0.4055753516
391	0.4055195703
392	0.4054906641
393	0.4054482031
394	0.4054098828
395	0.405381875
396	0.4053210938
397	0.4052740234
398	0.4052413672
399	0.4052063672
400	0.4051591406
401	0.4051066406
402	0.4050959375
403	0.4050303516
404	0.4049866016
405	0.4049535547
406	0.4049225
407	0.4048978516
408	0.4048528906
409	0.4048317578
410	0.4047558203
411	0.4046950781
412	0.404619375
413	0.4045828906
414	0.4045460156
415	0.4045040625
416	0.4044607813
417	0.4044121484
418	0.4043412891
419	0.4043229688
420	0.4042658984
421	0.4042360938
422	0.4042114453
423	0.4041725
424	0.4041557031
425	0.4041048047
426	0.4040605469
427	0.4038967969
428	0.403840625
429	0.4037705078
430	0.4037207812
431	0.4036734766
432	0.4036346484
433	0.4035828125
434	0.40355375
435	0.4034812109
436	0.4034434375
437	0.4033954687
438	0.4033621875
439	0.4033348438
440	0.4032255469
441	0.4031897656
442	0.4031651953
443	0.4031138281
444	0.4030830859
445	0.4029762109
446	0.4029384375
447	0.4029036328
448	0.4028096484
449	0.4027707422
450	0.4027164453
451	0.4026797656
452	0.4026381641
453	0.4025939844
454	0.4025488281
455	0.4023947266
456	0.4023691016
457	0.4023109766
458	0.4022673828
459	0.4022478906
460	0.4022007812
461	0.4021616406
462	0.4021148047
463	0.4020735156
464	0.402040625
465	0.4020148047
466	0.4020026953
467	0.4019692969
468	0.4019241406
469	0.4018869922
470	0.4018471094
471	0.4018102344
472	0.4017087891
473	0.4016807031
474	0.4016315234
475	0.4015594922
476	0.4015073047
477	0.4014620313
478	0.4014092578
479	0.4013765234
480	0.4013413672
481	0.4012969141
482	0.4012716797
483	0.4012341016
484	0.4011757031
485	0.4011451172
486	0.401076875
487	0.4009808984
488	0.4009459766
489	0.4008961328
490	0.4008175781
491	0.4007409766
492	0.4007004687
493	0.4006781641
494	0.4006568359
495	0.4006323438
496	0.4006048047
497	0.4005578516
498	0.4005276562
499	0.4004950781
500	0.400469375
501	0.4004276953
502	0.4003698047
503	0.4003095313
504	0.4002722656
505	0.4002438672
506	0.4001828125
507	0.4001533984
508	0.4000871875
509	0.4000647656
510	0.3999889453
511	0.3998768359
512	0.3998664844
513	0.3998351172
514	0.3997780078
515	0.3996903125
516	0.3996412891
517	0.3995997656
518	0.3995644922
519	0.3995065234
520	0.3994719531
521	0.3993955469
522	0.3993521094
523	0.3993130469
524	0.3992898437
525	0.3992525
526	0.3992078516
527	0.3991764844
528	0.3991371875
529	0.3990722656
530	0.3990220703
531	0.3989959766
532	0.3989458203
533	0.3989090625
534	0.398856875
535	0.3988094141
536	0.3987820313
537	0.3987430859
538	0.3986804688
539	0.3986027344
540	0.3985695703
541	0.3984949609
542	0.3984060547
543	0.3983694922
544	0.3983327734
545	0.3982752734
546	0.3982355859
547	0.3982051563
548	0.398179375
549	0.3981105859
550	0.3980628125
551	0.3980374609
552	0.3980150391
553	0.3979814063
554	0.3979267188
555	0.3978986719
556	0.3978832031
557	0.3978472656
558	0.3978206641
559	0.3977717969
560	0.3976853516
561	0.397648125
562	0.3976069922
563	0.3975839063
564	0.3975617188
565	0.3975337109
566	0.3974721875
567	0.3974108594
568	0.3973553906
569	0.3973145703
570	0.3972208594
571	0.3971561719
572	0.3971017187
573	0.3970698047
574	0.3970545703
575	0.3970277344
576	0.3969951172
577	0.3968916797
578	0.3968435938
579	0.3968022656
580	0.3967780078
581	0.3967471484
582	0.3966859766
583	0.3965736328
584	0.3965513281
585	0.3965185547
586	0.3964210547
587	0.3963961719
588	0.3963475391
589	0.3962960547
590	0.3962489453
591	0.3962164453
592	0.3961842187
593	0.3961312109
594	0.3960925391
595	0.3960517969
596	0.3960079687
597	0.3959732812
598	0.3958797656
599	0.3958498437
600	0.3958215234
601	0.3957756641
602	0.3957403125
603	0.3956525
604	0.3955998047
605	0.3955614453
606	0.3955230469
607	0.3954978516
608	0.3954562891
609	0.3954210938
610	0.3953814844
611	0.3953089844
612	0.3952740234
613	0.3952546094
614	0.3952209375
615	0.3951411328
616	0.3950942969
617	0.3950691016
618	0.3950480859
619	0.3949908203
620	0.3949627734
621	0.3949307031
622	0.394841875
623	0.3947998437
624	0.3947716016
625	0.3947504297
626	0.3947113672
627	0.3946533984
628	0.3946220703
629	0.3945862109
630	0.3945546875
631	0.394524375
632	0.3944704688
633	0.3944516406
634	0.3944238672
635	0.3943977344
636	0.3943337891
637	0.3942917578
638	0.3942498047
639	0.3941882812
640	0.3941590234
641	0.3941408594
642	0.3941153125
643	0.3940854688
644	0.3940555859
645	0.3940148828
646	0.39397375
647	0.3939435547
648	0.3939171484
649	0.3938965625
650	0.3938679688
651	0.3937766797
652	0.393723125
653	0.3936901562
654	0.3936668359
655	0.3936312891
656	0.3936070313
657	0.3935637891
658	0.3935429687
659	0.3934925
660	0.3934432812
661	0.3934082422
662	0.3933838281
663	0.3933421875
664	0.3932899219
665	0.3932513672
666	0.3932230469
667	0.3931551172
668	0.3931090234
669	0.39309
670	0.3930659375
671	0.3930403906
672	0.3929873437
673	0.3929607813
674	0.3929011328
675	0.3928769531
676	0.3928457031
677	0.3928038281
678	0.3926780469
679	0.3926372656
680	0.3925067578
681	0.3924803125
682	0.3924554297
683	0.3924301562
684	0.3924132031
685	0.3923740234
686	0.3922841406
687	0.3922720703
688	0.3922458594
689	0.3922264062
690	0.3921322266
691	0.3921005078
692	0.3920769531
693	0.3920488281
694	0.39202375
695	0.3920001172
696	0.3919755859
697	0.3919658984
698	0.3919385547
699	0.3919130859
700	0.3918932813
701	0.3918626562
702	0.3918371875
703	0.3917960547
704	0.3917776172
705	0.3917504688
706	0.3917285156
707	0.3916934766
708	0.3916564844
709	0.39163
710	0.3915798047
711	0.391545625
712	0.3915109375
713	0.3914785547
714	0.3914371875
715	0.391409375
716	0.3913818359
717	0.3913513672
718	0.3913275391
719	0.3913035547
720	0.39123125
721	0.3911953906
722	0.3911642578
723	0.3911391797
724	0.3911120703
725	0.3910758203
726	0.3910423828
727	0.3910142578
728	0.3909865625
729	0.3909478516
730	0.3909184375
731	0.3908338672
732	0.3907802734
733	0.3907412109
734	0.3906972656
735	0.3906778906
736	0.3906466016
737	0.3906
738	0.3905843359
739	0.3905426953
740	0.3905178125
741	0.3904845312
742	0.3904588281
743	0.3903955078
744	0.3903583203
745	0.3903391016
746	0.3902858594
747	0.3902403516
748	0.3902167578
749	0.3901735547
750	0.3900990234
751	0.3900701563
752	0.3900314844
753	0.3900096094
754	0.3899867578
755	0.3899574219
756	0.3899388281
757	0.3898978125
758	0.3898241797
759	0.3897668359
760	0.3897473828
761	0.3897110938
762	0.3896964063
763	0.3896677344
764	0.3895978516
765	0.3895642188
766	0.3895216016
767	0.3894797656
768	0.3894598828
769	0.3894349219
770	0.3894070312
771	0.3893445313
772	0.3893149609
773	0.3892968359
774	0.3892668359
775	0.3892342578
776	0.3892067578
777	0.3891819141
778	0.3891345703
779	0.3891059766
780	0.3890844922
781	0.3890246094
782	0.3889757422
783	0.3889503906
784	0.3889283594
785	0.388905
786	0.3888925391
787	0.3888247656
788	0.3887183984
789	0.3886892188
790	0.3886460547
791	0.3886194531
792	0.3885940625
793	0.3885589453
794	0.3885183203
795	0.3884857812
796	0.3884632813
797	0.3884446094
798	0.3884196094
799	0.3883943359
800	0.3883679688
801	0.3883197656
802	0.3882875
803	0.3882615625
804	0.3882251562
805	0.3881682031
806	0.3881460156
807	0.3881126172
808	0.3880887891
809	0.3880576172
810	0.3880305469
811	0.3879953516
812	0.3879520312
813	0.3879123437
814	0.3878696094
815	0.3878542187
816	0.3878104688
817	0.3877825781
818	0.3877335937
819	0.3876859375
820	0.3876398828
821	0.3876153516
822	0.3875587109
823	0.3875356641
824	0.3875042969
825	0.3874796094
826	0.3874412109
827	0.3874088281
828	0.3873825781
829	0.3873640234
830	0.3873269141
831	0.387298125
832	0.3872549609
833	0.3872200391
834	0.3871978516
835	0.3871688281
836	0.3871561719
837	0.387126875
838	0.3870884766
839	0.3870407422
840	0.3870158203
841	0.3869952734
842	0.3869606641
843	0.3869190234
844	0.3868860547
845	0.3868553516
846	0.3868225391
847	0.3867930859
848	0.3867775391
849	0.3867503516
850	0.3866960547
851	0.3866526172
852	0.3866176172
853	0.3865686328
854	0.3865304297
855	0.3864987109
856	0.3864509375
857	0.3863783984
858	0.3863407812
859	0.3863133594
860	0.3862857031
861	0.3862544922
862	0.3862158984
863	0.3861739844
864	0.3861389844
865	0.3861094141
866	0.3860910938
867	0.3860335938
868	0.3860117188
869	0.3859808203
870	0.3859623437
871	0.3859229297
872	0.3858919141
873	0.385865625
874	0.3858281641
875	0.3858184766
876	0.3857967578
877	0.3857694922
878	0.3857488281
879	0.38572125
880	0.3856924609
881	0.3856601953
882	0.3856134375
883	0.38558875
884	0.3855513672
885	0.3855185156
886	0.3854746484
887	0.3854540625
888	0.3854123047
889	0.3853901953
890	0.3853603516
891	0.3853404297
892	0.3853137891
893	0.3852682813
894	0.3852327734
895	0.3851947266
896	0.38517125
897	0.3851366797
898	0.3851249219
899	0.3850866406
900	0.3850226562
901	0.3850010547
902	0.384974375
903	0.3849471094
904	0.3849036328
905	0.3848697266
906	0.3848542969
907	0.3848326563
908	0.3847726172
909	0.3847607422
910	0.3847185156
911	0.3846946484
912	0.3846704687
913	0.3846507813
914	0.3846082422
915	0.3845784375
916	0.3845610156
917	0.3845337891
918	0.38452125
919	0.3844701953
920	0.3844324609
921	0.3843832031
922	0.3843532031
923	0.3843232422
924	0.3843141797
925	0.3842405859
926	0.3842176953
927	0.3841871875
928	0.3841480078
929	0.3841116406
930	0.3840888672
931	0.3840559375
932	0.3840150391
933	0.3839965625
934	0.3839599219
935	0.3838255469
936	0.3838041016
937	0.3837856641
938	0.3837607031
939	0.3837397656
940	0.3836998828
941	0.3836416406
942	0.3836112891
943	0.38354375
944	0.3835097266
945	0.3834712891
946	0.3834468359
947	0.3833782031
948	0.3833352344
949	0.3833125781
950	0.38329
951	0.3832558203
952	0.3832279297
953	0.3831864844
954	0.3831638672
955	0.3831424219
956	0.3831052344
957	0.3830886328
958	0.3830607422
959	0.3830251562
960	0.3829947656
961	0.3829463281
962	0.3829010547
963	0.3828597656
964	0.3828404297
965	0.3828024219
966	0.3827283984
967	0.3826877734
968	0.3826732812
969	0.3826264453
970	0.3825944922
971	0.3825702344
972	0.3825396875
973	0.3825212109
974	0.3825038672
975	0.3824913672
976	0.3824543359
977	0.3824278125
978	0.3823969531
979	0.3823722266
980	0.3823458203
981	0.3823263281
982	0.3822786328
983	0.3822486328
984	0.3822214453
985	0.3821917188
986	0.3821585156
987	0.3821240234
988	0.3821055859
989	0.3820737891
990	0.3820516406
991	0.3820326172
992	0.3820061328
993	0.3819736328
994	0.381915
995	0.3818958984
996	0.3818827344
997	0.3818585156
998	0.3818368359
999	0.3818159375
