iter	Passed	Remaining
400	18919	28260
401	18962	28208
402	19009	28160
403	19058	28116
404	19095	28054
405	19136	27998
406	19192	27963
407	19236	27911
408	19284	27865
409	19341	27833
410	19379	27772
411	19425	27724
412	19465	27667
413	19516	27624
414	19556	27567
415	19609	27528
416	19655	27479
417	19706	27437
418	19749	27384
419	19791	27331
420	19836	27280
421	19872	27218
422	19925	27179
423	19970	27129
424	20011	27074
425	20055	27023
426	20100	26973
427	20148	26927
428	20198	26883
429	20239	26829
430	20297	26796
431	20354	26762
432	20409	26725
433	20457	26680
434	20520	26652
435	20564	26601
436	20635	26585
437	20698	26557
438	20758	26526
439	20811	26487
440	20868	26452
441	20924	26416
442	20973	26370
443	21015	26316
444	21063	26269
445	21115	26228
446	21167	26187
447	21214	26139
448	21255	26083
449	21292	26023
450	21336	25973
451	21376	25916
452	21421	25866
453	21467	25817
454	21509	25763
455	21560	25720
456	21603	25669
457	21643	25612
458	21683	25556
459	21724	25502
460	21762	25444
461	21818	25407
462	21871	25366
463	21921	25322
464	21962	25269
465	21995	25205
466	22040	25154
467	22083	25103
468	22121	25045
469	22166	24996
470	22216	24952
471	22250	24890
472	22288	24833
473	22335	24785
474	22373	24728
475	22410	24670
476	22449	24614
477	22489	24560
478	22531	24507
479	22585	24467
480	22637	24425
481	22688	24382
482	22737	24338
483	22783	24289
484	22836	24249
485	22888	24207
486	22944	24169
487	22990	24120
488	23031	24067
489	23066	24008
490	23102	23948
491	23142	23894
492	23182	23841
493	23223	23787
494	23264	23734
495	23317	23693
496	23361	23643
497	23396	23583
498	23443	23537
499	23490	23490
500	23549	23455
501	23588	23400
502	23640	23358
503	23695	23319
504	23737	23267
505	23780	23216
506	23815	23157
507	23863	23111
508	23911	23065
509	23954	23014
510	24006	22972
511	24047	22920
512	24097	22876
513	24135	22821
514	24181	22772
515	24217	22715
516	24253	22658
517	24300	22611
518	24342	22559
519	24384	22508
520	24430	22461
521	24474	22411
522	24518	22362
523	24569	22318
524	24612	22268
525	24660	22222
526	24703	22172
527	24742	22118
528	24784	22067
529	24834	22023
530	24877	21972
531	24928	21929
532	24976	21883
533	25016	21831
534	25054	21776
535	25099	21727
536	25139	21675
537	25184	21626
538	25224	21574
539	25268	21524
540	25322	21484
541	25362	21431
542	25400	21377
543	25449	21332
544	25494	21284
545	25530	21228
546	25584	21187
547	25622	21134
548	25665	21083
549	25706	21032
550	25744	20978
551	25794	20934
552	25842	20888
553	25896	20848
554	25946	20803
555	25981	20748
556	26029	20701
557	26069	20650
558	26111	20599
559	26154	20549
560	26196	20499
561	26242	20452
562	26290	20406
563	26343	20364
564	26391	20319
565	26436	20271
566	26482	20223
567	26525	20174
568	26571	20127
569	26619	20081
570	26667	20035
571	26704	19981
572	26748	19932
573	26791	19883
574	26838	19836
575	26883	19788
576	26930	19743
577	26986	19702
578	27035	19657
579	27083	19612
580	27126	19562
581	27165	19510
582	27200	19455
583	27246	19408
584	27299	19366
585	27353	19324
586	27405	19281
587	27450	19233
588	27500	19189
589	27546	19142
590	27604	19103
591	27657	19060
592	27704	19014
593	27748	18966
594	27793	18918
595	27831	18865
596	27885	18824
597	27928	18774
598	27962	18719
599	28003	18668
600	28038	18614
601	28077	18562
602	28117	18511
